CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Engagement_Score,R_Score,F_Score,M_Score,Churn,Customer_Segment,Customer_Lifetime_Months,Monthly_Trans_Value,Monthly_Trans_Frequency,Monthly_Revenue_Interchange,Monthly_Revenue_Interest,Total_Monthly_Revenue,Retention_Rate,Expected_Lifetime_Months,Customer_Lifetime_Value,CLV_Percentile,Profitability_Tier,Acquisition_Cost,Total_Servicing_Cost,Total_Cost,Total_Revenue,Net_Profit,Profit_Margin_%,ROI_%,Value_Matrix
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691,777,11914,1.335,1144,42,1.625,0.061,22.38,4,1,1,0,New Customers,39,95.33,3.50,2.38,11.66,14.04,0.90,35.26,494.98,Medium,Bronze (Top 75%),150,195,345,547.50,202.50,36.99,58.69,Low Value - Grow
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256,864,7392,1.541,1291,33,3.714,0.105,19.36,4,1,1,0,New Customers,44,107.58,2.75,2.69,12.96,15.65,0.90,39.78,622.54,Medium,Bronze (Top 75%),150,220,370,688.58,318.58,46.27,86.10,Low Value - Grow
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418,0,3418,2.594,1887,20,2.333,0,16.548,4,1,1,0,New Customers,36,157.25,1.67,3.93,0.00,3.93,0.90,32.55,127.95,Low,Standard,150,180,330,141.53,-188.48,-133.17,-57.11,Low Value - Grow
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313,2517,796,1.405,1171,20,2.333,0.76,13.084,1,1,1,0,Lost,34,97.58,1.67,2.44,37.75,40.19,0.68,23.12,929.20,High,Silver (Top 50%),150,170,320,1366.62,1046.62,76.58,327.07,High Value - Retain
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716,0,4716,2.175,816,28,2.5,0,15.464,4,1,1,0,New Customers,21,68.00,2.33,1.70,0.00,1.70,0.90,18.99,32.28,Low,Standard,150,105,255,35.70,-219.30,-614.29,-86.00,Low Value - Grow
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010,1247,2763,1.376,1088,24,0.846,0.311,14.952,4,1,1,0,New Customers,36,90.67,2.00,2.27,18.71,20.97,0.90,32.55,682.57,Medium,Bronze (Top 75%),150,180,330,754.98,424.98,56.29,128.78,Low Value - Grow
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516,2264,32252,1.975,1330,31,0.722,0.066,18.72,4,1,1,0,New Customers,46,110.83,2.58,2.77,33.96,36.73,0.90,41.59,1527.56,Premium,Gold (Top 25%),150,230,380,1689.62,1309.62,77.51,344.64,High Value - Retain
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081,1396,27685,2.204,1538,36,0.714,0.048,21.35,3,1,1,0,Need Attention,27,128.17,3.00,3.20,20.94,24.14,0.76,20.50,494.97,Medium,Bronze (Top 75%),150,135,285,651.89,366.89,56.28,128.73,Low Value - Grow
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352,2517,19835,3.355,1350,24,1.182,0.113,15.8,3,1,1,0,Need Attention,36,112.50,2.00,2.81,37.75,40.57,0.76,27.33,1108.87,High,Silver (Top 50%),150,180,330,1460.43,1130.43,77.40,342.55,High Value - Retain
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656,1677,9979,1.524,1441,32,0.882,0.144,19.16,2,1,1,0,Lost,36,120.08,2.67,3.00,25.15,28.16,0.68,24.48,689.22,Medium,Bronze (Top 75%),150,180,330,1013.66,683.66,67.44,207.17,Low Value - Grow
708790833,Existing Customer,42,M,5,Uneducated,Unknown,$120K +,Blue,31,5,3,2,6748,1467,5281,0.831,1201,42,0.68,0.217,22.20,2,1,1,0,Lost,31,100.08,3.50,2.50,22.01,24.51,0.68,21.08,516.56,Medium,Bronze (Top 75%),150,155,305,759.72,454.72,59.85,149.09,Low Value - Grow
710821833,Existing Customer,65,M,1,Unknown,Married,$40K - $60K,Blue,54,6,2,3,9095,1587,7508,1.433,1314,26,1.364,0.174,16.46,3,1,1,0,Need Attention,54,109.50,2.17,2.74,23.81,26.54,0.76,41.00,1088.27,High,Silver (Top 50%),150,270,420,1433.30,1013.30,70.70,241.26,High Value - Retain
710599683,Existing Customer,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751,0,11751,3.397,1539,17,3.25,0,12.956,1,1,1,0,Lost,36,128.25,1.42,3.21,0.00,3.21,0.68,24.48,78.48,Low,Standard,150,180,330,115.43,-214.58,-185.90,-65.02,Low Value - Grow
816082233,Existing Customer,35,M,3,Graduate,Unknown,$60K - $80K,Blue,30,5,1,3,8547,1666,6881,1.163,1311,33,2,0.195,19.444,4,1,1,0,New Customers,30,109.25,2.75,2.73,24.99,27.72,0.90,27.12,751.87,Medium,Bronze (Top 75%),150,150,300,831.64,531.64,63.93,177.21,Low Value - Grow
712396908,Existing Customer,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436,680,1756,1.19,1570,29,0.611,0.279,18.68,3,1,1,0,Need Attention,48,130.83,2.42,3.27,10.20,13.47,0.76,36.45,490.95,Medium,Bronze (Top 75%),150,240,390,646.60,256.60,39.68,65.79,Low Value - Grow
714885258,Existing Customer,44,M,4,Unknown,Unknown,$80K - $120K,Blue,37,5,1,2,4234,972,3262,1.707,1348,27,1.7,0.23,17.19,4,1,1,0,New Customers,37,112.33,2.25,2.81,14.58,17.39,0.90,33.45,581.66,Medium,Bronze (Top 75%),150,185,335,643.37,308.37,47.93,92.05,Low Value - Grow
709967358,Existing Customer,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367,2362,28005,1.708,1671,27,0.929,0.078,18.284,3,1,1,0,Need Attention,36,139.25,2.25,3.48,35.43,38.91,0.76,27.33,1063.60,High,Silver (Top 50%),150,180,330,1400.81,1070.81,76.44,324.49,High Value - Retain
753327333,Existing Customer,41,M,3,Unknown,Married,$80K - $120K,Blue,34,4,4,1,13535,1291,12244,0.653,1028,21,1.625,0.095,12.91,1,1,1,0,Lost,34,85.67,1.75,2.14,19.37,21.51,0.68,23.12,497.18,Medium,Bronze (Top 75%),150,170,320,731.23,411.23,56.24,128.51,Low Value - Grow
806160108,Existing Customer,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193,2517,676,1.831,1336,30,1.143,0.788,18.144,3,1,1,0,Need Attention,56,111.33,2.50,2.78,37.75,40.54,0.76,42.52,1723.67,Premium,Platinum (Top 10%),150,280,430,2270.15,1840.15,81.06,427.94,High Value - Retain
709327383,Existing Customer,45,F,2,Graduate,Married,Unknown,Blue,37,6,1,2,14470,1157,13313,0.966,1207,21,0.909,0.08,14.228,4,1,1,0,New Customers,37,100.58,1.75,2.51,17.36,19.87,0.90,33.45,664.66,Medium,Bronze (Top 75%),150,185,335,735.17,400.17,54.43,119.46,Low Value - Grow
806165208,Existing Customer,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979,1800,19179,0.906,1178,27,0.929,0.086,16.31,3,1,1,0,Need Attention,42,98.17,2.25,2.45,27.00,29.45,0.76,31.89,939.28,High,Silver (Top 50%),150,210,360,1237.08,877.08,70.90,243.63,High Value - Retain
708508758,Attrited Customer,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0,9.77,2,1,1,1,Lost,49,57.67,1.33,1.44,0.00,1.44,0.68,33.32,48.03,Low,Standard,150,245,395,70.64,-324.36,-459.16,-82.12,Low Value - Lost
784725333,Existing Customer,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470,680,3790,1.608,931,18,1.571,0.152,11.72,3,1,1,0,Need Attention,33,77.58,1.50,1.94,10.20,12.14,0.76,25.06,304.17,Low,Standard,150,165,315,400.61,85.61,21.37,27.18,Low Value - Grow
811604133,Existing Customer,47,F,4,Unknown,Single,Less than $40K,Blue,36,3,3,2,2492,1560,932,0.573,1126,23,0.353,0.626,14.30,2,1,1,0,Lost,36,93.83,1.92,2.35,23.40,25.75,0.68,24.48,630.19,Medium,Bronze (Top 75%),150,180,330,926.85,596.85,64.40,180.86,Low Value - Grow
789124683,Existing Customer,54,M,2,Unknown,Married,$80K - $120K,Blue,42,4,2,3,12217,0,12217,1.075,1110,21,0.75,0,13.64,3,1,1,0,Need Attention,42,92.50,1.75,2.31,0.00,2.31,0.76,31.89,73.74,Low,Standard,150,210,360,97.13,-262.88,-270.66,-73.02,Low Value - Grow
771071958,Existing Customer,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768,1669,6099,0.797,1051,22,0.833,0.215,14.004,4,1,1,0,New Customers,28,87.58,1.83,2.19,25.04,27.22,0.90,25.31,689.17,Medium,Bronze (Top 75%),150,140,290,762.29,472.29,61.96,162.86,Low Value - Grow
720466383,Existing Customer,59,M,1,High School,Unknown,$40K - $60K,Blue,46,4,1,2,14784,1374,13410,0.921,1197,23,1.3,0.093,14.988,4,1,1,0,New Customers,46,99.75,1.92,2.49,20.61,23.10,0.90,41.59,960.84,High,Silver (Top 50%),150,230,380,1062.77,682.77,64.24,179.68,High Value - Retain
804424383,Existing Customer,63,M,1,Unknown,Married,$60K - $80K,Blue,56,3,3,2,10215,1010,9205,0.843,1904,40,1,0.099,24.22,2,1,1,0,Lost,56,158.67,3.33,3.97,15.15,19.12,0.68,38.08,727.89,Medium,Bronze (Top 75%),150,280,430,1070.53,640.53,59.83,148.96,Low Value - Grow
