CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Engagement_Score,R_Score,F_Score,M_Score,Churn,Customer_Segment,Customer_Lifetime_Months,Monthly_Trans_Value,Monthly_Trans_Frequency,Monthly_Revenue_Interchange,Monthly_Revenue_Interest,Total_Monthly_Revenue,Retention_Rate,Expected_Lifetime_Months,Customer_Lifetime_Value,CLV_Percentile,Profitability_Tier,Acquisition_Cost,Total_Servicing_Cost,Total_Cost,Total_Revenue,Net_Profit,Profit_Margin_%,ROI_%,Value_Matrix
768805383,Existing Customer,45,M,3,High School,Married,$60K - $80K,Blue,39,5,1,3,12691.0,777,11914.0,1.335,1144,42,1.625,0.061,22.376,4,1,1,0,New Customers,39,95.33333333333333,3.5,2.3833333333333333,11.655,14.038333333333332,0.9040835707502374,35.25925925925926,494.9812345679012,Medium,Bronze (Top 75%),150,195,345,547.495,202.495,36.99,58.69,Low Value - Grow
818770008,Existing Customer,49,F,5,Graduate,Single,Less than $40K,Blue,44,6,1,2,8256.0,864,7392.0,1.541,1291,33,3.714,0.105,19.364,4,1,1,0,New Customers,44,107.58333333333333,2.75,2.689583333333333,12.959999999999999,15.649583333333332,0.9040835707502374,39.77967711301044,622.5353719531496,Medium,Bronze (Top 75%),150,220,370,688.5816666666666,318.5816666666666,46.27,86.1,Low Value - Grow
713982108,Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue,36,4,1,0,3418.0,0,3418.0,2.594,1887,20,2.333,0.0,16.548000000000002,4,1,1,0,New Customers,36,157.25,1.6666666666666667,3.9312500000000004,0.0,3.9312500000000004,0.9040835707502374,32.547008547008545,127.95042735042736,Low,Standard,150,180,330,141.525,-188.475,-133.17,-57.11,Low Value - Grow
769911858,Existing Customer,40,F,4,High School,Unknown,Less than $40K,Blue,34,3,4,1,3313.0,2517,796.0,1.405,1171,20,2.333,0.76,13.084000000000001,1,1,1,0,Lost,34,97.58333333333333,1.6666666666666667,2.439583333333333,37.754999999999995,40.19458333333333,0.6799307958477508,23.11764705882353,929.2041911764704,High,Silver (Top 50%),150,170,320,1366.615833333333,1046.615833333333,76.58,327.07,High Value - Retain
709106358,Existing Customer,40,M,3,Uneducated,Married,$60K - $80K,Blue,21,5,1,0,4716.0,0,4716.0,2.175,816,28,2.5,0.0,15.464000000000002,4,1,1,0,New Customers,21,68.0,2.3333333333333335,1.7000000000000002,0.0,1.7000000000000002,0.9040835707502374,18.985754985754983,32.27578347578348,Low,Standard,150,105,255,35.7,-219.3,-614.29,-86.0,Low Value - Grow
713061558,Existing Customer,44,M,2,Graduate,Married,$40K - $60K,Blue,36,3,1,2,4010.0,1247,2763.0,1.376,1088,24,0.846,0.311,14.952000000000002,4,1,1,0,New Customers,36,90.66666666666667,2.0,2.266666666666667,18.705,20.971666666666664,0.9040835707502374,32.547008547008545,682.5650142450141,Medium,Bronze (Top 75%),150,180,330,754.9799999999999,424.9799999999999,56.29,128.78,Low Value - Grow
810347208,Existing Customer,51,M,4,Unknown,Married,$120K +,Gold,46,6,1,3,34516.0,2264,32252.0,1.975,1330,31,0.722,0.066,18.72,4,1,1,0,New Customers,46,110.83333333333333,2.5833333333333335,2.7708333333333335,33.96,36.73083333333334,0.9040835707502374,41.58784425451092,1527.556176005065,Premium,Gold (Top 25%),150,230,380,1689.6183333333336,1309.6183333333336,77.51,344.64,High Value - Retain
818906208,Existing Customer,32,M,0,High School,Unknown,$60K - $80K,Silver,27,2,2,2,29081.0,1396,27685.0,2.204,1538,36,0.714,0.048,21.352,3,1,1,0,Need Attention,27,128.16666666666666,3.0,3.2041666666666666,20.939999999999998,24.144166666666663,0.7592783505154639,20.500515463917523,494.9678621134019,Medium,Bronze (Top 75%),150,135,285,651.8924999999999,366.8924999999999,56.28,128.73,Low Value - Grow
710930508,Existing Customer,37,M,3,Uneducated,Single,$60K - $80K,Blue,36,5,2,0,22352.0,2517,19835.0,3.355,1350,24,1.182,0.113,15.800000000000002,3,1,1,0,Need Attention,36,112.5,2.0,2.8125,37.754999999999995,40.567499999999995,0.7592783505154639,27.3340206185567,1108.8728814432989,High,Silver (Top 50%),150,180,330,1460.4299999999998,1130.4299999999998,77.4,342.55,High Value - Retain
719661558,Existing Customer,48,M,2,Graduate,Single,$80K - $120K,Blue,36,6,3,3,11656.0,1677,9979.0,1.524,1441,32,0.882,0.144,19.164,2,1,1,0,Lost,36,120.08333333333333,2.6666666666666665,3.002083333333333,25.154999999999998,28.157083333333333,0.6799307958477508,24.47750865051903,689.2152508650519,Medium,Bronze (Top 75%),150,180,330,1013.655,683.655,67.44,207.17,Low Value - Grow
